title	type	url_slug	venue	date	location	talk_url	description
Graduate Student Council	Student Service	graduate-student-council-osu	The Ohio State University College of Education and Human Ecology	2024-08-01	Columbus, OH		Support graduate student engagement, communication, and student-centered programming within the College of Education and Human Ecology.
Vice President of Finance	Student Leadership	vp-finance-penn-gse	University of Pennsylvania Graduate School of Education	2023-08-01	Philadelphia, PA		Managed finance-related responsibilities for student government and supported graduate student activities.
Reviewer for CIES 2026	Academic Service	cies-2026-reviewer	Comparative and International Education Society	2026-01-01	Remote		Reviewed conference submissions for CIES 2026.
Math Tutor	Volunteer Service	math-tutor-andrew-hamilton	Andrew Hamilton School	2023-01-01	Philadelphia, PA		Provided one-on-one and small-group math tutoring for K-8 students and supported student learning through weekly tutoring sessions.
President, School of Foreign Studies	Student Leadership	president-school-foreign-studies	Central University of Finance and Economics	2020-09-01	Beijing, China		Led student organization work and supported school-level student activities.
